
.1,.1,.7,100,400,0.0051.0
.1,.1,.7,100,600,0.00.0
.1,.1,.7,100,800,0.00.0
.1,.1,.7,100,1000,0.00.0
.1,.1,.7,200,400,0.00.0
.1,.1,.7,200,600,0.00.0
.1,.1,.7,200,800,0.00.0
.1,.1,.7,200,1000,0.0051.0
.1,.1,.7,300,400,0.00.0
.1,.1,.7,300,600,0.00.0
.1,.1,.7,300,800,0.011.0
.1,.1,.7,300,1000,0.0,0.0
.1,.1,.7,400,400,0.01,1.0
.1,.1,.7,400,600,0.0,0.0
.1,.1,.7,400,800,0.0,0.0
.1,.1,.7,400,1000,0.0,0.0
.1,.1,.8,100,400,0.02,2.0
.1,.1,.8,100,600,0.005,1.0
.1,.1,.8,100,800,0.0,0.0
.1,.1,.8,100,1000,0.0,0.0
.1,.1,.8,200,400,0.0,0.0
.1,.1,.8,200,600,0.0,0.0
.1,.1,.8,200,800,0.0,0.0
.1,.1,.8,200,1000,0.0,0.0
.1,.1,.8,300,400,0.03,1.0
.1,.1,.8,300,600,0.0,0.0
.1,.1,.8,300,800,0.01,1.0
.1,.1,.8,300,1000,0.0,0.0
.1,.1,.8,400,400,0.01,1.0
.1,.1,.8,400,600,0.0,0.0
.1,.1,.8,400,800,0.0,0.0
.1,.1,.8,400,1000,0.0,0.0
.1,.1,.9,100,400,0.0,0.0
.1,.1,.9,100,600,0.005,1.0
.1,.1,.9,100,800,0.0,0.0
.1,.1,.9,100,1000,0.005,1.0
.1,.1,.9,200,400,0.015,1.0
.1,.1,.9,200,600,0.0,0.0
.1,.1,.9,200,800,0.0,0.0
.1,.1,.9,200,1000,0.0,0.0
.1,.1,.9,300,400,0.0,0.0
.1,.1,.9,300,600,0.005,1.0
.1,.1,.9,300,800,0.0,0.0
.1,.1,.9,300,1000,0.0,0.0
.1,.1,.9,400,400,0.0,0.0
.1,.1,.9,400,600,0.0,0.0
.1,.1,.9,400,800,0.0,0.0
.1,.1,.9,400,1000,0.005,1.0
.1,.1,1.,100,400,0.0,0.0
.1,.1,1.,100,600,0.0,0.0
.1,.1,1.,100,800,0.0,0.0
.1,.1,1.,100,1000,0.0,0.0
.1,.1,1.,200,400,0.005,1.0
.1,.1,1.,200,600,0.0,0.0
.1,.1,1.,200,800,0.0,0.0
.1,.1,1.,200,1000,0.0,0.0
.1,.1,1.,300,400,0.005,1.0
.1,.1,1.,300,600,0.0,0.0
.1,.1,1.,300,800,0.0,0.0
.1,.1,1.,300,1000,0.0,0.0
.1,.1,1.,400,400,0.0,0.0
.1,.1,1.,400,600,0.0,0.0
.1,.1,1.,400,800,0.0,0.0
.1,.1,1.,400,1000,0.02,1.0
.1,.2,.7,100,400,0.0,0.0
.1,.2,.7,100,600,0.0,0.0
.1,.2,.7,100,800,0.0,0.0
.1,.2,.7,100,1000,0.0,0.0
.1,.2,.7,200,400,0.0,0.0
.1,.2,.7,200,600,0.0,0.0
.1,.2,.7,200,800,0.0,0.0
.1,.2,.7,200,1000,0.0,0.0
.1,.2,.7,300,400,0.0,0.0
.1,.2,.7,300,600,0.0,0.0
.1,.2,.7,300,800,0.015,1.0
.1,.2,.7,300,1000,0.005,1.0
.1,.2,.7,400,400,0.0,0.0
.1,.2,.7,400,600,0.0,0.0
.1,.2,.7,400,800,0.0,0.0
.1,.2,.7,400,1000,0.0,0.0
.1,.2,.8,100,400,0.0,0.0
.1,.2,.8,100,600,0.0,0.0
.1,.2,.8,100,800,0.0,0.0
.1,.2,.8,100,1000,0.0,0.0
.1,.2,.8,200,400,0.0,0.0
.1,.2,.8,200,600,0.0,0.0
.1,.2,.8,200,800,0.0,0.0
.1,.2,.8,200,1000,0.0,0.0
.1,.2,.8,300,400,0.01,1.0
.1,.2,.8,300,600,0.0,0.0
.1,.2,.8,300,800,0.0,0.0
.1,.2,.8,300,1000,0.0,0.0
.1,.2,.8,400,400,0.0,0.0
.1,.2,.8,400,600,0.0,0.0
.1,.2,.8,400,800,0.0,0.0
.1,.2,.8,400,1000,0.0,0.0
.1,.2,.9,100,400,0.0,0.0
.1,.2,.9,100,600,0.0,0.0
.1,.2,.9,100,800,0.0,0.0
.1,.2,.9,100,1000,0.0,0.0
.1,.2,.9,200,400,0.005,1.0
.1,.2,.9,200,600,0.035,1.0
.1,.2,.9,200,800,0.0,0.0
.1,.2,.9,200,1000,0.0,0.0
.5,.5,.9,100,500,0.0,0.0
.5,.5,.9,200,500,0.0,0.0
.5,.5,.9,300,500,0.005,1.0
.5,.5,1.,100,500,0.0,0.0
.9,.9,1,250,550,0.015,1.0
.9,.9,1,250,550,0.0,0.0
.9,.9,1,250,550,0.0,0.0
.8,.9,1,250,550,0.0,0.0
.8,.9,1,250,550,0.0,0.0
.8,.9,1,250,550,0.01,1.0
